-1,critcalzone.org variable,czo_id,Discipline,CZOs,ODM2Name,ODM2Term,CZO Variable Action,New ODM2 Term,comments,units,Aggregation,,czo_url, czo_id
145,air temperature c,2617,Climatology / Meteorology,Luquillo,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2617,2617
146,air temperature c,2618,Climatology / Meteorology,Luquillo,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2618,2618
147,air temperature c,2619,Climatology / Meteorology,Luquillo,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2619,2619
148,air temperature c,2622,Climatology / Meteorology,Luquillo,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2622,2622
149,air temperature c,2652,Geochemistry / Mineralogy,Shale Hills,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2652,2652
150,air temperature deg c,2692,Climatology / Meteorology|Hydrology,Shale Hills,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2692,2692
151,air temperature degc,4871,Hydrology,Shale Hills,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/4871,4871
152,air temperature degrees c,2583,Soil Science / Pedology,Shale Hills,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2583,2583
153,air temperaturec,2423,Climatology / Meteorology,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2423,2423
154,airt,5324,Hydrology,Shale Hills,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5324,5324
155,airt,5326,Hydrology,Shale Hills,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/5326,5326
156,airtcavg,6526,Climatology / Meteorology|Soil Science / Pedology|Hydrology,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6526,6526
157,airtcmax,6526,Climatology / Meteorology|Soil Science / Pedology|Hydrology,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6526,6526
158,airtcmin,6526,Climatology / Meteorology|Soil Science / Pedology|Hydrology,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6526,6526
159,airtemp10mmax time,2435,Climatology / Meteorology,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2435,2435
160,airtemp10mmax time,6112,Climatology / Meteorology,National|Boulder|Calhoun|Catalina-Jemez|Luquillo|Shale Hills,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/6112,6112
161,airtemp10mmin time,2435,Climatology / Meteorology,Boulder,Temperature,temperature,ODM2,,,,,,http://criticalzone.org/national/data/dataset/2435,2435
